wikidata_id,phd_romance,phd_germanic,phd_slavic
Q204996,9.90756654221673,9.46952882223787,9.426642813347748
Q22706,8.07507095031631,7.969960934377466,7.949466026435616
Q397,9.049284604201159,10.418607661719076,9.041557344410599
Q9232,8.314747428354675,8.75953064543346,7.946471256391975
Q3616,7.687594674568036,8.192162244403471,7.523708330304554
Q161400,9.100155228695977,9.184082785825277,9.939350605374619
Q216762,8.069193127999226,8.993151683353767,7.958053052650993
Q189962,8.795828781578335,8.437865401567079,8.324625648944103
Q2763,6.348276756512436,7.3161188350338575,6.5032346922359325
Q965705,6.699659039499027,7.195714374609589,6.901213637311338
Q172610,6.472636942900927,7.57254901071542,6.838060292806082
Q574641,8.157524829040664,8.660726886834553,8.676433834930654
Q456,9.694916290374241,10.264851785622403,9.804671554457085
Q461651,7.978280287874399,8.133570419456152,8.212310091255246
Q186162,8.546619214414498,8.82755040595868,8.634884103063648
Q495,8.969127552054106,9.535233740722443,9.251618028954042
Q1729,9.352922077363083,8.947872916221323,8.532983971126534
Q20484,8.049809233621701,7.996620372545837,8.47734985269365
Q134430,8.343824563444418,8.370185568168624,7.882825856788264
Q34661,8.079921360913115,8.537229643409809,9.0681452017552
Q242758,8.179733631881113,8.485551179447398,8.017313257352864
Q1455,7.762035516132741,8.608099839429906,8.446326186012136
Q187019,8.21483193209296,9.117051489773747,8.35658124309795
Q475689,8.972734248367452,10.10846817598811,9.373740261801156
Q124086,6.79290661046011,7.25991606518568,8.01855395150014
Q17905,8.155181453074936,8.467459874484572,8.668205518572321
Q219237,8.276444883878767,9.51228048977702,8.660377436525293
Q72911,8.50329176479422,8.54585044326838,8.045678426252344
Q133871,7.999251212029718,8.108071994295074,7.814560132616805
Q58148,9.010117311912822,9.170264659536008,9.202405243332958
Q683592,9.184861828395281,9.782845367728653,9.734574115686492
Q710,7.802387859980657,8.13666337786623,7.874966116372077
Q243381,9.257672630618252,9.743396865665659,8.71821567324111
Q83488,7.553961651216877,8.439166170366924,7.556508439804384
Q9161,8.714732762028293,8.655986263872343,8.70430436631459
Q427523,8.41773849153708,8.928547254860696,8.265311806290164
Q130812,9.346948745173652,9.448276028941924,8.868957982347652
Q3169,8.030131836863905,8.9593623709885,8.302295087542454
Q186867,8.799774822980481,9.61203565225891,9.4907259526853
Q19198,8.595441444480882,8.478979897171017,8.999497400864033
Q38142,9.362216336050663,10.011669255056272,9.87743139666278
Q589894,8.671943695247917,9.148142734678762,9.551160174465283
Q312325,7.233346181219523,8.05838665540171,6.617274048713991
Q47607,7.834818831384595,8.66559005940191,8.650265704251558
Q904,9.058689640407408,9.749001274910569,8.778268825217063
Q37302,7.281095097955046,8.605060307250142,7.635097639246435
Q919194,7.814316854545167,8.569184045407034,8.77390837366001
Q27079,8.202298458171153,9.066286557080652,8.948676365765417
Q724,8.7877726201224,9.586520811012507,8.396580788591088
